"FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL1.A","FL1.W","Time","Gate"
309,376,264,198,313,0,0,2,1
83,55,139,51,146,0,0,2,1
184,198,232,83,124,0,0,2,1
169,75,696,22,193,121,26,2,2
212,98,166,0,221,0,0,2,1
164,143,108,160,117,0,0,2,1
525,628,581,250,50,39,0,2,1
80,41,84,0,190,0,0,2,1
369,306,405,106,199,2,0,2,1
152,129,113,83,54,0,0,2,1
62,344,135,100,14,0,0,2,-1
282,212,187,26,173,0,0,2,1
96,118,65,46,14,0,0,2,1
286,140,230,116,195,0,0,2,1
903,838,936,405,1023,1023,324,2,-1
309,326,248,143,270,0,0,4,1
157,139,209,115,147,0,0,4,1
138,98,97,0,45,0,0,4,1
278,378,248,210,100,0,0,4,1
165,1023,4,0,11,0,0,4,-1
465,610,323,289,168,0,0,4,1
113,51,104,36,195,0,0,4,1
198,163,211,51,190,0,0,4,1
251,273,196,142,94,0,0,4,1
224,179,212,138,131,0,0,4,1
327,318,252,127,228,0,0,4,1
269,253,237,126,296,0,0,4,1
455,438,248,244,166,0,0,4,1
213,162,136,42,100,0,0,4,1
116,147,196,116,147,0,0,4,1
312,160,244,84,369,0,0,6,1
193,187,188,157,109,0,0,6,1
237,122,151,0,343,0,0,6,1
139,73,125,0,165,0,0,6,1
74,45,105,0,146,0,0,6,1
123,105,122,36,90,0,0,6,1
1023,832,955,286,1023,1023,213,6,-1
72,86,345,0,104,0,0,6,1
236,560,132,106,21,0,0,6,-1
107,44,145,0,201,0,0,6,1
351,311,650,118,275,81,15,6,2
257,250,242,104,257,0,0,6,1
515,310,600,47,355,46,0,6,2
222,158,189,60,121,0,0,6,1
301,381,231,100,301,0,0,6,1
75,114,151,66,71,0,0,9,-1
310,235,840,277,449,453,58,9,2
226,183,209,129,161,0,0,9,1
264,117,732,161,371,166,31,9,2
82,53,149,77,138,0,0,9,1
158,33,61,53,4,0,0,9,-1
506,196,847,225,511,487,73,9,2
532,448,863,303,1021,660,227,9,2
257,141,194,101,192,0,0,9,1
89,239,157,103,24,0,0,9,-1
187,81,213,83,173,0,0,9,1
221,66,705,166,242,131,25,9,2
212,138,108,0,209,0,0,9,1
272,224,239,157,256,0,0,9,1
217,126,213,116,201,0,0,9,1
361,274,285,150,321,0,0,14,1
783,705,371,246,674,2,0,14,-1
202,160,171,29,182,0,0,14,1
216,224,240,178,67,0,0,14,1
283,235,261,147,311,0,0,14,1
252,177,200,70,172,0,0,14,1
285,144,747,218,233,189,38,14,2
220,123,55,23,191,0,0,14,1
123,179,126,103,17,0,0,14,1
166,103,756,113,219,202,39,14,2
140,249,235,156,147,0,0,14,1
200,140,126,0,194,0,0,14,1
59,75,164,0,124,0,0,14,-1
313,422,287,223,149,0,0,14,1
249,150,218,111,201,0,0,14,1
259,293,237,206,166,0,0,18,1
183,122,763,154,230,220,60,18,2
220,253,241,94,246,0,0,18,1
249,224,196,76,222,0,0,18,1
249,268,218,176,99,0,0,18,1
199,74,702,153,219,127,23,18,2
297,380,284,145,296,0,0,18,1
490,511,322,235,466,0,0,18,2
289,173,258,92,350,0,0,18,1
215,233,207,176,117,0,0,18,1
788,594,852,202,923,572,420,18,-1
231,155,567,0,326,35,0,18,2
145,104,156,0,178,0,0,18,1
201,104,263,81,318,0,0,18,1
422,448,296,225,203,0,0,18,1
61,100,626,0,95,76,3,22,-1
335,276,206,76,165,0,0,22,1
311,157,257,97,362,0,0,22,1
197,165,184,0,208,0,0,22,1
153,105,137,29,166,0,0,22,1
245,214,225,52,261,0,0,22,1
180,183,283,190,238,0,0,22,1
253,107,720,142,225,149,30,22,2
239,291,249,70,246,0,0,22,1
242,177,226,106,256,0,0,22,1
79,113,782,207,248,266,70,22,2
453,652,335,246,347,0,0,22,1
365,291,547,110,332,28,0,22,2
69,105,152,121,3,0,0,22,-1
445,183,841,212,511,457,63,22,2
270,279,242,164,206,0,0,28,1
557,360,409,385,133,5,0,28,1
715,468,841,277,466,466,100,28,2
145,57,140,0,190,0,0,28,1
221,178,169,100,117,0,0,28,1
302,131,667,139,215,92,11,28,2
917,924,872,300,884,647,129,28,-1
392,436,251,59,351,0,0,28,1
194,106,458,78,346,8,0,28,2
70,38,160,0,133,0,0,28,-1
214,111,215,38,196,0,0,28,1
84,62,238,194,33,0,0,28,1
1023,1023,899,202,1023,959,337,28,-1
203,283,324,134,24,0,0,28,1
309,137,710,220,218,137,29,28,2
1023,1023,974,444,1023,1023,266,35,-1
329,269,264,198,181,0,0,35,1
216,89,196,0,302,0,0,35,1
381,268,197,24,325,0,0,35,1
111,111,216,0,199,0,0,35,1
284,194,222,98,181,0,0,35,1
182,90,609,132,225,53,0,35,2
163,97,171,0,160,0,0,35,1
188,97,166,136,181,0,0,35,1
110,87,169,0,145,0,0,35,1
243,229,196,39,178,0,0,35,1
322,506,295,260,41,0,0,35,1
181,80,713,133,215,140,26,35,2
353,185,254,0,366,0,0,35,1
70,65,149,19,146,0,0,35,1
177,185,205,121,102,0,0,42,1
94,11,158,0,194,0,0,42,-1
434,236,300,205,292,0,0,42,1
218,146,193,121,137,0,0,42,1
188,160,212,91,193,0,0,42,1
338,287,202,79,172,0,0,42,1
297,213,248,63,320,0,0,42,1
343,203,254,125,331,0,0,42,1
171,1023,0,0,3,0,0,42,-1
155,196,516,0,71,19,0,42,1
